id,created_at,date,description,category,amount,type,isPaidByKari,is_default
473,2025-12-30T16:01:25.701953+00:00,2025-12-30,REWE,supermarket,27.78,percentage,false,false
472,2025-12-28T09:47:51.034334+00:00,2025-12-28,Bh & pantis,purchases,70.2,kari,true,false
471,2025-12-27T15:01:30.550487+00:00,2025-12-27,Rewe,supermarket,91.17,percentage,false,false
470,2025-12-27T15:00:53.718132+00:00,2025-12-27,Dm,pharmacy,33.8,percentage,true,false
469,2025-12-27T15:00:38.687485+00:00,2025-12-27,"Regalo perros Silvio ",pet,7.32,percentage,true,false
468,2025-12-24T09:18:55.112516+00:00,2025-12-24,REWE leche y harina,supermarket,9.5,percentage,false,false
467,2025-12-23T13:38:54.091425+00:00,2025-12-23,rewe navidad,food,32.23,percentage,false,false
466,2025-12-22T09:59:21.492741+00:00,2025-12-22,REWE navideñp,supermarket,102.56,percentage,false,false
465,2025-12-22T09:58:57.882725+00:00,2025-12-22,bomba,food,28.11,shared,false,false
464,2025-12-22T09:58:07.601826+00:00,2025-12-22,ROSSMAN,supermarket,4.45,percentage,false,false
463,2025-12-22T09:57:45.124883+00:00,2025-12-22,REWE,supermarket,12.35,percentage,false,false
462,2025-12-22T09:57:24.355335+00:00,2025-12-22,peter pan,food,97.64,shared,false,false
461,2025-12-22T09:56:15.81794+00:00,2025-12-22,go asia,supermarket,17.08,percentage,false,false
460,2025-12-22T09:49:08.114392+00:00,2025-12-20,Mama bao,food,94.26,shared,true,false
459,2025-12-22T09:47:57.794833+00:00,2025-12-20,Dr Maetens,purchases,273.48,kari,false,false
458,2025-12-22T09:47:18.34803+00:00,2025-12-19,Bufanda kari,purchases,23.42,kari,false,false
457,2025-12-22T09:47:00.667487+00:00,2025-12-19,Bufanda regalo Adolfo,purchases,23.42,kari,false,false
456,2025-12-19T12:46:11.64484+00:00,2025-12-19,rewe,supermarket,102.04,percentage,false,false
455,2025-12-17T20:11:08.096315+00:00,2025-12-17,"Vinito ",supermarket,18.85,percentage,false,false
454,2025-12-17T16:00:21.599263+00:00,2025-12-17,Bomba,food,14.04,shared,false,false
453,2025-12-17T11:08:52.921055+00:00,2025-12-17,Rossman,pharmacy,10.77,percentage,true,false
452,2025-12-16T16:37:02.897922+00:00,2025-12-16,Dm,pharmacy,15.72,percentage,false,false
451,2025-12-16T16:36:11.434383+00:00,2025-12-16,Lidl,supermarket,50.32,percentage,false,false
449,2025-12-15T10:59:43.241441+00:00,2025-12-15,erwe,supermarket,24,percentage,false,false
448,2025-12-15T10:59:29.271277+00:00,2025-12-15,boxa grip,pharmacy,20.53,percentage,false,false
447,2025-12-15T10:58:48.653833+00:00,2025-12-15,whisky,food,46.92,shared,false,false
446,2025-12-15T10:58:23.928069+00:00,2025-12-15,salames,food,23.46,shared,false,false
445,2025-12-14T16:32:46.988624+00:00,2025-12-14,"Salchicha ",food,5.87,shared,false,false
444,2025-12-14T16:32:35.185139+00:00,2025-12-14,Punshc,food,10.56,shared,false,false
443,2025-12-14T16:32:16.305753+00:00,2025-12-14,Gruwein,food,11.73,shared,false,false
442,2025-12-13T15:01:50.320201+00:00,2025-12-13,Chocolates lindt,supermarket,23.46,percentage,false,false
441,2025-12-13T15:01:34.136199+00:00,2025-12-13,Dm,pharmacy,12.79,percentage,false,false
440,2025-12-13T15:00:38.361898+00:00,2025-12-13,"Sandwichs salchicha ",food,22.88,shared,false,false
439,2025-12-13T15:00:19.433108+00:00,2025-12-13,"Strudels de manzana ",food,16.42,shared,false,false
438,2025-12-13T15:00:00.31479+00:00,2025-12-13,Chips manzana,food,10.5,shared,false,false
437,2025-12-13T14:59:45.791543+00:00,2025-12-13,"Salchicha blanca y cerveza ",food,12.32,shared,false,false
436,2025-12-13T09:26:30.347706+00:00,2025-12-13,Sopa,food,11.4,shared,false,false
435,2025-12-11T18:03:18.336873+00:00,2025-12-11,escritorio,purchases,279.77,kari,false,false
434,2025-12-11T18:02:43.950434+00:00,2025-12-11,monitor,purchases,241.66,kari,false,false
433,2025-12-11T18:00:11.157047+00:00,2025-12-11,cinnamood,food,18.56,shared,false,false
432,2025-12-11T17:58:26.122272+00:00,2025-12-11,DM,pharmacy,5.19,percentage,false,false
431,2025-12-11T17:57:09.673791+00:00,2025-12-11,cejilla,purchases,70.28,kari,true,false
430,2025-12-11T17:56:50.515952+00:00,2025-12-11,busos sevilla,purchases,58.57,kari,true,false
429,2025-12-11T17:56:19.786123+00:00,2025-12-11,REWE,supermarket,20.87,percentage,false,false
428,2025-12-11T17:54:41.248764+00:00,2025-12-11,ROSSMAN,pharmacy,6.99,percentage,false,false
427,2025-12-11T17:54:06.810894+00:00,2025-12-11,REWE,supermarket,17.1,percentage,false,false
143,2025-06-02T17:23:52.439865+00:00,2025-12-01,"seguro medico ",health insurance,426.25,shared,false,true
98,2025-05-07T12:01:57.792376+00:00,2025-12-01,spotify premium,subscriptions,17.39,percentage,true,true
97,2025-05-07T12:01:07.90614+00:00,2025-12-01,amazon prime,subscriptions,11.99,percentage,false,true
96,2025-05-07T12:00:07.392192+00:00,2025-12-01,crunchyroll,subscriptions,5.19,percentage,false,true
95,2025-05-07T11:59:44.977728+00:00,2025-12-01,youtube premium,subscriptions,15.22,percentage,false,true
94,2025-05-07T11:59:17.697714+00:00,2025-12-01,o2,subscriptions,49.96,shared,false,true
87,2025-05-01T14:36:53.916578+00:00,2025-12-01,Alquiler,rent,2121.15,percentage,true,true
