id,created_at,date,description,category,amount,type,isPaidByKari,is_default
413,2025-11-02T08:30:17.283843+00:00,2025-10-31,mercado tego,supermarket,6.93,percentage,false,false
412,2025-11-02T08:29:53.711005+00:00,2025-10-31,chocolates,supermarket,28.88,percentage,false,false
409,2025-10-30T15:02:24.220079+00:00,2025-10-30,Rewe,supermarket,44.96,percentage,false,false
411,2025-10-30T17:52:17.401245+00:00,2025-10-29,Cafe,supermarket,48.2,percentage,false,false
410,2025-10-30T15:03:27.098273+00:00,2025-10-28,Rewe,supermarket,73.83,percentage,false,false
408,2025-10-27T19:19:51.223796+00:00,2025-10-27,"Mate y filtro ",purchases,35.68,shared,false,false
407,2025-10-26T12:53:12.556649+00:00,2025-10-26,Bomba,food,16.67,percentage,false,false
406,2025-10-25T14:00:30.707071+00:00,2025-10-25,"Schnitzel ",food,81.28,shared,false,false
404,2025-10-25T13:09:54.463209+00:00,2025-10-25,"Douglas ",pharmacy,20.31,percentage,false,false
402,2025-10-25T10:27:43.054675+00:00,2025-10-25,Dm,pharmacy,17.07,percentage,false,false
405,2025-10-25T14:00:14.496353+00:00,2025-10-24,Rewe,supermarket,74.42,percentage,false,false
403,2025-10-25T12:09:16.255572+00:00,2025-10-24,"Rewe gretränkt ",supermarket,2.78,percentage,false,false
399,2025-10-22T18:28:06.28281+00:00,2025-10-22,Dm,pharmacy,21.49,percentage,false,false
398,2025-10-22T18:13:52.111795+00:00,2025-10-22,Lidl queso y cerdo,supermarket,12.03,percentage,false,false
401,2025-10-22T18:31:42.090511+00:00,2025-10-20,Rewe,supermarket,54.44,percentage,false,false
400,2025-10-22T18:30:57.581934+00:00,2025-10-20,Rewe gretränkt,supermarket,4.89,percentage,false,false
397,2025-10-20T11:34:13.646979+00:00,2025-10-20,Shawarma,food,29.2,shared,false,false
396,2025-10-19T12:43:25.949167+00:00,2025-10-19,Cinnamood,food,17.05,shared,false,false
395,2025-10-19T10:58:22.726334+00:00,2025-10-19,Salchichas,food,30.95,shared,false,false
394,2025-10-19T10:31:02.582848+00:00,2025-10-19,Wisky,purchases,36.21,shared,false,false
393,2025-10-19T10:20:36.801804+00:00,2025-10-19,Currywurst,food,12.27,shared,false,false
392,2025-10-19T10:13:30.254003+00:00,2025-10-19,"Queso ",food,98.95,percentage,false,false
391,2025-10-19T10:02:42.905993+00:00,2025-10-19,Queso trufa,supermarket,11.1,percentage,false,false
382,2025-10-18T15:32:58.891108+00:00,2025-10-18,SAM,food,88.74,shared,false,false
379,2025-10-18T15:31:02.853438+00:00,2025-10-18,REWE,supermarket,63.41,percentage,false,false
381,2025-10-18T15:32:41.012166+00:00,2025-10-16,REWE getrenk,supermarket,5.95,percentage,false,false
380,2025-10-18T15:32:12.874628+00:00,2025-10-16,REWE,supermarket,45.31,percentage,false,false
378,2025-10-18T15:30:36.650497+00:00,2025-10-15,Haribo gomitas,food,2.76,shared,false,false
377,2025-10-18T15:29:52.702546+00:00,2025-10-15,cafes,food,9.4,shared,false,false
