id,created_at,date,description,category,amount,type,isPaidByKari,is_default
327,2025-10-05T16:15:48.597235+00:00,2025-09-30,boxa grip,pharmacy,21.95,percentage,false,false
326,2025-10-05T16:15:07.060644+00:00,2025-09-30,el gelenke,pet,17.27,percentage,false,false
324,2025-10-05T16:14:10.590142+00:00,2025-09-29,LINDT,food,16.22,shared,false,false
323,2025-10-05T16:13:21.175345+00:00,2025-09-29,go asia,supermarket,11.2,shared,false,false
321,2025-10-05T16:10:25.854492+00:00,2025-09-29,bomba,food,8.28,shared,false,false
329,2025-10-05T16:17:36.865764+00:00,2025-09-28,lieferando,food,37.15,shared,false,false
322,2025-10-05T16:12:39.330454+00:00,2025-09-28,bomba,food,10.92,shared,false,false
331,2025-10-05T16:18:54.924308+00:00,2025-09-27,REWE,supermarket,104.92,percentage,false,false
330,2025-10-05T16:18:29.015009+00:00,2025-09-27,lieferando,food,46.43,shared,false,false
328,2025-10-05T16:16:56.106477+00:00,2025-09-27,fizzy bubele shawarma judio,food,33.3,shared,false,false
325,2025-10-05T16:14:47.379629+00:00,2025-09-26,die kuchenwerkstatt,food,17.21,shared,false,false
320,2025-09-21T09:24:26.846355+00:00,2025-09-21,rewe,supermarket,101.09,percentage,false,false
319,2025-09-21T09:23:57.555575+00:00,2025-09-21,la condesa,food,32.91,percentage,false,false
318,2025-09-21T09:23:39.365326+00:00,2025-09-21,rewe,supermarket,22.53,percentage,false,false
317,2025-09-21T09:23:16.090246+00:00,2025-09-21,rewe yaron,supermarket,10.58,percentage,false,false
316,2025-09-21T09:22:48.794697+00:00,2025-09-21,lieferano indio,food,16,shared,false,false
315,2025-09-21T09:22:26.18499+00:00,2025-09-21,Primark,other,68,kari,false,false
314,2025-09-21T09:18:44.106682+00:00,2025-09-21,Ticket LH Kari Y Mari,other,459.78,kari,false,false
267,2025-09-18T06:55:33.545521+00:00,2025-09-17,rossman,pharmacy,7.91,percentage,false,false
270,2025-09-18T06:57:07.63178+00:00,2025-09-16,bomba,supermarket,22.02,percentage,false,false
269,2025-09-18T06:56:40.832041+00:00,2025-09-16,rewe,supermarket,50.51,percentage,false,false
268,2025-09-18T06:56:07.500618+00:00,2025-09-16,rewe,supermarket,18.8,percentage,false,false
